timestamp,event,description_sinhala,description_english
2025-09-19 00:05:39,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:05:40,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:05:43,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:05:45,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:05:46,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:05:48,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:05:49,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:05:50,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:05:52,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:05:56,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 4s),Animals left the farm (Duration: 4s)
2025-09-19 00:05:57,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:06:02,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 4s),Animals left the farm (Duration: 4s)
2025-09-19 00:06:06,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:06:07,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:06:09,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:06:10,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:06:14,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:06:15,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:07:17,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:07:18,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:07:27,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:07:30,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:07:32,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:07:33,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:07:46,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:07:57,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 10s),Animals left the farm (Duration: 10s)
2025-09-19 00:08:01,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:08:02,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:08:16,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:09:10,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 54s),Animals left the farm (Duration: 54s)
2025-09-19 00:10:59,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:11:00,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:11:36,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:11:59,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 23s),Animals left the farm (Duration: 23s)
2025-09-19 00:12:39,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:12:40,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
